Timestamp,Fatigue Score,Driver State,EAR,MAR,Yaw,Pitch,Distracted,Yawning,Drowsy
2026-06-01 17:59:10,0,NORMAL,0.294,0.072,7.41,-35.0,False,False,False
2026-06-01 17:59:15,71,DANGER,0.242,1.41,9.77,-35.0,False,True,False
2026-06-01 17:59:20,100,DANGER,0.321,0.051,1.45,-35.0,False,False,False
2026-06-01 17:59:25,53,DROWSY,0.309,0.041,0.4,-35.0,False,False,False
2026-06-01 17:59:31,0,NORMAL,0.099,0.065,-6.14,-35.0,False,False,True
2026-06-01 17:59:36,98,DANGER,0.128,0.05,-3.99,-35.0,False,False,True
2026-06-01 17:59:41,86,DANGER,0.295,0.065,10.36,7.0,False,False,False
2026-06-01 17:59:46,35,TIRED,0.309,0.057,10.42,-35.0,False,False,False
2026-06-01 17:59:51,0,NORMAL,0.302,0.057,7.89,-35.0,False,False,False
2026-06-01 17:59:57,0,NORMAL,0.309,0.058,7.6,-35.0,False,False,False
2026-06-01 18:00:02,0,NORMAL,0.297,0.06,6.25,-35.0,False,False,False
2026-06-01 18:00:08,0,NORMAL,0.287,0.104,16.67,-35.0,False,False,False
2026-06-01 18:00:13,0,NORMAL,0.307,0.064,17.63,-35.0,False,False,False
2026-06-01 18:00:18,0,NORMAL,0.317,0.051,8.15,-35.0,False,False,False
2026-06-01 18:00:23,0,NORMAL,0.271,0.055,10.79,-35.0,False,False,False
2026-06-02 00:58:40,0,NORMAL,0.228,1.721,19.01,-35.0,False,True,False
2026-06-02 00:58:45,92,DANGER,0.243,0.051,-11.05,-35.0,False,False,False
2026-06-02 00:58:53,0,NORMAL,0.28,0.052,-6.6,-25.67,False,False,False
2026-06-02 00:58:58,0,NORMAL,0.272,0.054,5.01,-25.67,False,False,False
